Row;SYN-based;DATA-based;ACK-based
66.209.64.86136.179.32.196;0;1;1
152.115.118.6677.247.67.7;1;1;1
64.71.150.2268.68.104.98;1;1;1
144.121.35.37144.121.35.25;1;1;1
217.71.100.82212.79.48.16;1;1;1
130.117.14.10134.222.48.144;1;1;1
208.185.205.198216.55.160.6;1;1;1
87.245.232.14187.245.228.222;1;1;1
213.248.74.4793.176.95.119;1;1;1
195.248.70.3446.249.203.70;1;1;1
77.26.17.92213.60.220.62;1;1;1
212.8.201.184212.8.201.156;1;1;1
91.210.16.14781.95.15.162;1;1;1
154.54.82.20638.140.170.146;1;1;1
203.190.251.100180.180.249.162;1;1;1
194.185.216.180212.239.108.132;1;1;1
199.244.76.34173.46.151.14;1;1;1
130.117.50.202154.25.1.214;1;1;1
195.219.87.94195.219.188.10;1;1;1
154.54.31.50154.24.2.22;1;1;1
12.122.2.20212.122.28.166;1;1;1
85.236.32.2885.236.32.150;1;0;1
87.238.144.19887.238.144.201;1;1;1
62.115.120.12680.239.130.198;1;1;1
195.56.20.190194.149.2.174;0;0;1
130.117.15.190216.156.16.187;1;1;1
5.62.85.1205.62.85.18;1;0;1
62.115.120.11362.115.9.114;1;1;1
62.115.117.4862.115.151.123;1;1;1
130.117.48.138130.117.15.190;1;1;1
130.117.0.93154.54.59.137;1;1;1
104.44.225.194104.44.232.155;1;0;0
80.81.192.22481.171.116.26;1;1;1
80.91.245.13562.115.144.33;1;1;1
81.52.200.213193.251.151.18;1;1;1
193.218.8.12193.218.10.59;1;1;1
154.54.11.42152.195.69.143;1;1;1
144.121.35.41144.121.109.78;1;1;1
38.104.94.6264.29.159.9;1;1;1
213.155.135.8580.239.192.146;1;1;1
154.54.60.170154.54.39.14;1;1;1
38.32.96.98209.59.157.50;1;1;1
46.33.90.19885.112.0.161;1;1;1
212.27.56.38194.149.163.49;1;1;1
130.117.14.15489.149.133.202;1;1;1
154.54.60.202149.14.0.26;1;1;1
195.22.206.3589.221.40.181;1;1;1
81.210.6.22692.242.180.253;1;0;0
74.112.175.23874.112.174.195;1;1;1
77.244.101.12177.244.101.122;1;1;1
62.40.125.18062.40.98.38;1;1;1
154.54.7.129154.54.81.62;1;1;1
89.149.133.202195.81.70.250;1;1;1
87.245.233.5787.245.249.91;1;1;1
49.128.33.33129.126.65.242;1;1;1
37.252.236.14137.252.252.202;1;1;1
169.63.118.139169.55.118.179;1;1;1
195.12.255.26185.158.192.249;1;1;1
154.54.63.2130.117.50.226;1;1;1
113.10.229.161113.10.229.98;1;1;1
149.6.1.158185.62.36.8;1;1;1
129.250.2.6129.250.5.118;1;1;1
80.239.135.5262.115.112.247;1;1;1
154.54.57.206154.54.59.14;1;1;1
154.54.57.206154.54.57.241;1;1;1
166.49.237.80166.49.208.61;1;1;1
62.115.133.22662.115.136.19;1;1;1
154.25.6.186149.6.138.126;1;1;1
154.54.6.11838.122.47.118;1;1;1
62.115.151.47213.80.87.73;1;1;1
154.54.30.5438.142.221.106;1;1;0
154.25.8.102130.117.242.90;1;1;1
212.74.84.143217.111.216.110;1;1;1
193.95.129.105212.2.161.38;1;1;1
64.125.35.194203.208.152.213;1;1;1
213.248.72.3487.234.14.79;1;1;1
129.250.4.22213.130.48.54;1;1;1
90.147.80.205193.201.28.92;1;1;1
90.147.80.205193.201.28.98;1;1;1
81.95.15.19477.235.191.113;1;1;1
212.65.7.8287.236.105.253;1;0;0
93.61.5.1522.228.22.218;1;1;1
62.115.136.21980.239.193.38;1;1;1
49.255.43.190103.252.152.253;1;1;1
38.122.228.20250.60.145.243;1;1;1
49.255.95.118202.124.246.83;1;1;1
95.59.174.8192.47.145.100;1;1;1
217.29.66.4581.201.102.25;1;1;1
217.71.96.162.80.99.164;1;1;1
154.54.58.166154.25.10.186;1;1;1
185.17.175.244185.17.174.46;1;1;1
12.123.30.4912.94.37.54;1;1;1
154.54.56.186154.54.57.213;1;1;1
38.142.179.114144.121.35.37;1;1;1
151.6.2.79151.6.12.97;1;0;1
168.209.201.14168.209.6.10;1;1;1
144.232.17.40144.223.44.42;1;1;1
149.6.9.5492.60.96.3;1;1;1
62.115.133.22680.91.247.75;1;1;1
81.95.2.11462.141.47.86;1;1;1
128.122.254.110128.122.254.116;0;1;1
80.157.204.3881.183.3.55;1;1;1
90.147.80.21090.147.80.218;1;1;1
154.25.3.118149.11.64.66;1;1;1
159.153.92.98159.153.92.78;1;1;1
194.70.97.22194.70.99.42;1;1;1
83.88.28.88131.164.253.98;1;1;1
154.54.58.141154.25.9.25;1;1;1
154.18.96.7459.153.9.17;1;1;1
64.125.31.10464.125.26.53;1;0;1
80.249.208.12264.125.28.187;1;1;1
130.117.50.133154.25.8.222;1;1;1
217.29.68.4181.27.128.6;1;0;1
129.250.6.237129.250.3.121;1;1;1
65.29.1.4565.29.38.49;1;1;1
159.213.224.49159.213.224.5;1;1;1
154.54.3.7038.104.85.130;1;1;1
2.228.255.130217.171.232.254;1;1;1
96.34.107.13196.34.59.51;1;1;1
112.174.80.161112.174.80.233;1;1;1
112.174.80.161112.174.80.237;1;1;1
90.147.80.20590.147.80.214;1;1;1
130.117.14.15489.149.187.6;1;1;1
206.248.155.1876.10.144.179;1;1;1
149.6.1.218185.67.44.13;1;1;1
217.196.157.34193.41.136.14;1;1;1
192.56.26.17199.228.169.204;1;0;0
154.25.5.14154.25.9.233;1;1;1
154.54.56.129154.54.57.154;1;1;1
4.69.202.1654.35.168.14;1;1;1
80.239.192.14685.158.4.241;1;1;1
154.54.58.186154.54.61.61;1;0;1
207.115.64.13666.114.134.141;1;1;1
84.116.187.9084.116.187.73;1;1;1
62.115.133.22662.115.112.61;1;1;1
154.54.47.1838.104.94.90;1;1;1
154.54.37.30149.14.69.82;1;1;1
154.54.61.26149.6.164.186;1;0;1
62.115.135.16362.115.162.249;1;1;1
145.222.130.26145.222.130.235;1;1;1
91.199.214.205212.42.243.37;0;1;1
131.114.72.177.37.250.207;0;1;0
217.197.214.30217.197.214.2;1;1;1
81.201.117.2181.29.200.158;1;1;1
64.57.28.62200.143.255.90;1;1;1
210.79.13.18210.79.13.46;1;1;1
200.51.208.63200.63.150.178;1;1;1
77.243.32.56217.63.125.59;1;1;1
130.117.14.944.69.167.196;0;1;1
77.245.26.977.245.26.30;1;1;1
217.19.176.181217.19.177.105;0;1;1
154.54.57.53149.6.39.94;1;1;1
216.80.5.26216.80.5.51;1;1;1
